__v,_id,city_type,country_code,end_date,id,is_cost_effective,is_safe,is_soloable,is_time_efficient,is_walk,keyword,like,start_date,type_id_a,type_id_b,type_id_c,version
0,63e312e632f27972ae8786d7,old,IDN,2023-02-08T03:12:22.214Z,26838e29-3b7b-4e23-a111-a23d5edce46c,false,true,null,false,null,쇼핑,false,2023-02-08T03:11:34.570Z,C,F,U,1.1.0_20230206
0,63e312e832f27972ae8786d9,null,THA,2023-02-08T03:13:06.754Z,b9780bc0-d2cb-4065-bf39-4c7ccc1367b5,false,null,false,false,true,맛있는 현지 음식,false,2023-02-08T03:11:36.042Z,R,F,U,1.1.0_20230206
0,63e3133432f27972ae8786de,null,null,null,5e7cb8f6-0288-43a4-8c0d-ef04d086ee80,null,null,null,null,null,null,false,2023-02-08T03:12:52.576Z,null,null,null,1.1.0_20230206
0,63e3134432f27972ae8786e2,old,POL,2023-02-08T03:14:25.949Z,c372beb6-c4a2-4767-b422-fdc55f856687,true,true,null,true,null,신나는 밤문화,false,2023-02-08T03:13:08.919Z,C,F,D,1.1.0_20230206
0,63e3143f32f27972ae8786e9,null,SGP,2023-02-08T03:18:34.415Z,f442c63f-8f31-4bb0-942c-c80050da3bce,false,null,false,true,true,다양한 액티비티,false,2023-02-08T03:17:19.075Z,R,F,D,1.1.0_20230206
0,63e314cd32f27972ae8786f0,null,null,null,6ab830be-7d2c-40aa-a3d7-d056a65a3104,null,null,null,null,null,null,false,2023-02-08T03:19:41.045Z,null,null,null,1.1.0_20230206
0,63e3159c32f27972ae8786f3,null,COL,2023-02-08T03:23:54.970Z,4e5b4386-dbea-45e7-ad5b-acc24bf8fabf,false,null,true,false,false,신나는 밤문화,false,2023-02-08T03:23:08.218Z,R,H,U,1.1.0_20230206
0,63e3159d32f27972ae8786f5,old,IDN,2023-02-08T03:24:44.408Z,97b12b84-ea2c-4ae6-bf2a-fd71b470ce51,false,true,null,false,null,쇼핑,false,2023-02-08T03:23:09.540Z,C,F,U,1.1.0_20230206
0,63e315a132f27972ae8786f7,old,CHN,2023-02-08T03:24:43.901Z,a1fff077-1ac7-4d4b-ae0a-aaf68c53fb79,false,false,null,false,null,역사 탐방,false,2023-02-08T03:23:13.379Z,C,F,U,1.1.0_20230206
0,63e315f732f27972ae8786fc,null,HRV,2023-02-08T03:25:50.136Z,ddd285fa-472b-4c54-86c7-bb8c66716850,true,null,false,false,true,아름다운 자연경관,false,2023-02-08T03:24:39.044Z,R,F,U,1.1.0_20230206
0,63e3160d32f27972ae878705,null,null,null,cb22f9df-92b6-459e-80f9-ba1204117e22,null,null,null,null,null,null,false,2023-02-08T03:25:01.447Z,null,null,null,1.1.0_20230206
0,63e3162332f27972ae878709,null,MDV,2023-02-08T03:26:24.770Z,d99b0ab6-f4e7-411f-b8f5-b86175b37a2b,false,null,false,false,false,낭만적인 분위기,false,2023-02-08T03:25:23.357Z,R,F,U,1.1.0_20230206
0,63e3162632f27972ae87870b,null,MYS,2023-02-08T03:27:20.194Z,a995a7cd-6ae4-498c-bc16-b210455ea732,true,null,false,false,false,수상레저,false,2023-02-08T03:25:26.548Z,R,F,D,1.1.0_20230206
0,63e3163b32f27972ae87870d,null,HRV,2023-02-08T03:27:21.293Z,21df5eb0-b48a-4c98-8f6e-46de6af4dde2,false,null,false,false,false,아름다운 자연경관,false,2023-02-08T03:25:47.712Z,R,F,U,1.1.0_20230206
0,63e3164d32f27972ae878713,null,PRT,2023-02-08T03:27:06.966Z,99c827f9-67c7-4402-87d5-cf232148b193,false,null,false,false,false,서핑,false,2023-02-08T03:26:05.127Z,R,F,D,1.1.0_20230206
0,63e316a332f27972ae878722,null,THA,2023-02-08T03:28:51.741Z,888c60a0-23c0-4554-92ad-e551b5e4e209,false,null,false,false,false,맛있는 현지 음식,false,2023-02-08T03:27:31.612Z,R,F,U,1.1.0_20230206
0,63e316bf32f27972ae878724,null,null,null,3d806078-2314-4070-ae60-734d2b3bc0a4,null,null,null,null,null,null,false,2023-02-08T03:27:59.638Z,null,null,null,1.1.0_20230206
0,63e316bf32f27972ae878726,null,MYS,2023-02-08T03:28:24.742Z,b21bc9b1-6708-4de9-8cf1-972a7c317865,true,null,false,false,false,수상레저,false,2023-02-08T03:27:59.901Z,R,F,D,1.1.0_20230206
0,63e3170232f27972ae878730,old,JPN,2023-02-08T03:29:41.605Z,5cbee51b-65e0-4abc-bc16-48b527840825,false,true,null,true,null,맛있는 현지 음식,false,2023-02-08T03:29:06.126Z,C,F,D,1.1.0_20230206
0,63e318a132f27972ae878736,null,HRV,2023-02-08T03:37:06.679Z,ce9d22b6-aafe-4d56-bb05-265619154344,true,null,false,true,true,아름다운 자연경관,false,2023-02-08T03:36:01.815Z,R,F,U,1.1.0_20230206
0,63e31a1732f27972ae87873e,null,MYS,2023-02-08T03:43:12.904Z,d3af80e2-d429-461f-a22c-9e4126fe380d,true,null,false,false,true,수상레저,false,2023-02-08T03:42:15.673Z,R,F,D,1.1.0_20230206
0,63e31ab532f27972ae878744,null,MYS,2023-02-08T03:46:00.248Z,03569ddb-6ce4-45ce-baf7-60faf77ffcb0,true,null,false,true,false,수상레저,false,2023-02-08T03:44:53.516Z,R,F,D,1.1.0_20230206
0,63e31b2c32f27972ae87874b,null,null,null,0d034aea-2ade-44a9-9979-10378fc91039,null,null,null,null,null,null,false,2023-02-08T03:46:52.514Z,null,null,null,1.1.0_20230206
0,63e31b9432f27972ae87874d,null,THA,2023-02-08T03:49:30.378Z,e43b8717-d0b3-46f3-939b-94f49bdb8ede,true,null,true,true,true,맛있는 현지 음식,false,2023-02-08T03:48:36.250Z,R,F,U,1.1.0_20230206
0,63e31c5a32f27972ae878752,null,LAO,2023-02-08T03:52:29.887Z,d69728f1-2711-4f83-a41b-6bb845369efb,true,null,true,true,true,다양한 액티비티,false,2023-02-08T03:51:54.818Z,A,F,U,1.1.0_20230206
0,63e31d5132f27972ae878757,null,null,null,b5261628-d1d7-4a1f-948b-1b2c17a51d03,null,null,null,null,null,null,false,2023-02-08T03:56:01.365Z,null,null,null,1.1.0_20230206
0,63e31e2432f27972ae878759,old,MEX,2023-02-08T04:02:49.760Z,6f929f4a-ca8f-41fc-bfbc-55b852c4d1bb,true,false,null,false,null,맛있는 현지 음식과 술,false,2023-02-08T03:59:32.146Z,C,F,U,1.1.0_20230206
0,63e31e8732f27972ae87875b,old,KAZ,2023-02-08T04:02:23.682Z,50ac3882-789e-4746-aff3-7fa4693b4034,false,true,null,false,null,독창적 건축양식,false,2023-02-08T04:01:11.932Z,C,H,U,1.1.0_20230206
0,63e31f2f32f27972ae878763,new,RWA,2023-02-08T04:05:05.535Z,92de2564-1f32-4ea0-82d0-b3ad1ebd4d03,true,false,null,false,null,이색문화 탐방,false,2023-02-08T04:03:59.201Z,C,H,U,1.1.0_20230206
0,63e31f8832f27972ae878768,null,LAO,2023-02-08T04:06:15.497Z,5b08e8f0-8b48-45ce-bedc-8e5a5407a347,true,null,false,false,true,다양한 액티비티,false,2023-02-08T04:05:28.132Z,R,F,U,1.1.0_20230206
0,63e31f9932f27972ae87876a,new,HUN,2023-02-08T04:06:32.110Z,f435b555-4eb9-4c67-b586-150a2773090c,false,false,null,false,null,눈부신 야경,false,2023-02-08T04:05:45.952Z,C,F,U,1.1.0_20230206
0,63e31fe732f27972ae878772,old,CHN,2023-02-08T04:07:49.791Z,c072fe75-4572-47f3-ab62-7a9b67ad724a,false,false,null,true,null,역사 탐방,false,2023-02-08T04:07:03.152Z,C,F,U,1.1.0_20230206
0,63e3202432f27972ae878777,null,TUN,2023-02-08T04:08:32.067Z,de51565d-6fad-4ad9-904d-639f1de7f7c4,false,null,false,false,false,현지인과의 교류,false,2023-02-08T04:08:04.720Z,R,H,U,1.1.0_20230206
0,63e320d832f27972ae87877e,null,GRC,2023-02-08T04:11:38.281Z,30747441-c52e-4f6f-a0d8-4ca3d1a9505a,false,null,false,false,true,색다른 건축물,false,2023-02-08T04:11:04.267Z,R,F,D,1.1.0_20230206
0,63e320f132f27972ae878781,new,CZE,2023-02-08T04:17:57.176Z,0c84f208-3ea4-4500-a82d-a7f1840cdad0,true,true,null,false,null,낭만적 분위기,false,2023-02-08T04:11:29.954Z,C,F,D,1.1.0_20230206
0,63e3223c32f27972ae878786,null,GRC,2023-02-08T04:22:54.765Z,dbdc190d-b651-41e7-a08f-7d685f4f861e,false,null,false,false,true,색다른 건축물,false,2023-02-08T04:17:00.397Z,R,F,D,1.1.0_20230206
